frame.number	ip.src	ip.dst
693	142.250.191.99	10.133.19.67
694	10.133.19.67	142.250.191.99
695	142.250.191.99	10.133.19.67
696	10.133.19.67	142.250.191.99
697	142.250.191.99	10.133.19.67
698		
699		
700		
701		
702		
703		
704		
705		
706		
707		
708		
709		
710	10.133.19.67	142.250.191.106
711	142.250.191.106	10.133.19.67
712		
713		
714		
715		
716		
717	10.133.19.67	137.22.1.7
718	10.133.19.67	137.22.1.7
719	137.22.1.7	10.133.19.67
720	137.22.1.7	10.133.19.67
721	10.133.19.67	142.251.32.10
722	10.133.19.67	142.251.32.10
723	10.133.19.67	142.251.32.10
724	142.251.32.10	10.133.19.67
725	142.251.32.10	10.133.19.67
726	142.251.32.10	10.133.19.67
727	142.251.32.10	10.133.19.67
728	10.133.19.67	142.251.32.10
729	142.251.32.10	10.133.19.67
730	142.251.32.10	10.133.19.67
731	10.133.19.67	142.251.32.10
732	142.251.32.10	10.133.19.67
733	142.251.32.10	10.133.19.67
734	10.133.19.67	142.251.32.10
735	10.133.19.67	142.251.32.10
736	10.133.19.67	142.251.32.10
737	142.251.32.10	10.133.19.67
738	10.133.19.67	172.217.0.170
739	10.133.19.67	172.217.0.170
740	172.217.0.170	10.133.19.67
741	172.217.0.170	10.133.19.67
742	10.133.19.67	172.217.0.170
743		
744		
745	172.217.0.170	10.133.19.67
746	172.217.0.170	10.133.19.67
747	172.217.0.170	10.133.19.67
748	172.217.0.170	10.133.19.67
749	172.217.0.170	10.133.19.67
750	172.217.0.170	10.133.19.67
751	172.217.0.170	10.133.19.67
752	172.217.0.170	10.133.19.67
753	172.217.0.170	10.133.19.67
754	172.217.0.170	10.133.19.67
755	172.217.0.170	10.133.19.67
756	172.217.0.170	10.133.19.67
757	172.217.0.170	10.133.19.67
758	10.133.19.67	172.217.0.170
759	172.217.0.170	10.133.19.67
760	10.133.19.67	172.217.0.170
761	10.133.19.67	172.217.0.170
762	10.133.19.67	172.217.0.170
763	10.133.19.67	172.217.0.170
764	10.133.19.67	172.217.0.170
765	10.133.19.67	172.217.0.170
766	172.217.0.170	10.133.19.67
767	10.133.19.67	172.217.0.170
768	172.217.0.170	10.133.19.67
769	172.217.0.170	10.133.19.67
770	172.217.0.170	10.133.19.67
771	172.217.0.170	10.133.19.67
772	10.133.19.67	172.217.0.170
773	10.133.19.67	172.217.0.170
774	172.217.0.170	10.133.19.67
775	172.217.0.170	10.133.19.67
776	10.133.19.67	172.217.0.170
777	172.217.0.170	10.133.19.67
778	172.217.0.170	10.133.19.67
779	172.217.0.170	10.133.19.67
780	172.217.0.170	10.133.19.67
781	172.217.0.170	10.133.19.67
782	10.133.19.67	172.217.0.170
783	10.133.19.67	172.217.0.170
784	172.217.0.170	10.133.19.67
785	10.133.19.67	172.217.0.170
786	172.217.0.170	10.133.19.67
787	172.217.0.170	10.133.19.67
788	10.133.19.67	172.217.0.170
789	172.217.0.170	10.133.19.67
790	172.217.0.170	10.133.19.67
791	10.133.19.67	172.217.0.170
792	172.217.0.170	10.133.19.67
793	172.217.0.170	10.133.19.67
794	10.133.19.67	172.217.0.170
795	172.217.0.170	10.133.19.67
796	172.217.0.170	10.133.19.67
797	10.133.19.67	172.217.0.170
798	172.217.0.170	10.133.19.67
799	172.217.0.170	10.133.19.67
800	10.133.19.67	172.217.0.170
801	172.217.0.170	10.133.19.67
802	172.217.0.170	10.133.19.67
803	172.217.0.170	10.133.19.67
804	10.133.19.67	172.217.0.170
805	172.217.0.170	10.133.19.67
806	10.133.19.67	172.217.0.170
